sa2,MTWP Method of Travel to Work,PT,CAR,WFH,BIKE,WALK
202011018,15-19 years,68,803,347,11,65
,20-24 years,74,1656,302,14,108
,25-29 years,52,1642,281,21,150
,30-34 years,45,1616,367,32,99
,35-39 years,38,1518,304,36,58
,40-44 years,49,1798,232,25,75
,45-49 years,36,1840,232,27,88
,50-54 years,30,1861,233,26,86
,55-59 years,43,1594,245,26,75
,60-64 years,22,1062,199,9,50
,65-69 years,7,343,106,4,22
,70-74 years,4,103,22,0,3
,75-79 years,0,30,5,0,0
,80-84 years,0,12,0,0,0
,85-89 years,0,3,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,4,0,0,0
,100 years and over,0,6,0,0,0
202011019,15-19 years,3,67,27,0,3
,20-24 years,0,173,27,0,7
,25-29 years,4,145,30,0,4
,30-34 years,4,158,39,0,0
,35-39 years,0,154,30,0,0
,40-44 years,6,147,47,0,9
,45-49 years,6,170,36,0,6
,50-54 years,0,189,36,0,3
,55-59 years,6,194,39,0,6
,60-64 years,0,133,47,0,5
,65-69 years,0,46,18,0,0
,70-74 years,0,13,4,0,0
,75-79 years,0,0,0,0,0
,80-84 years,0,3,3,0,0
,85-89 years,0,0,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
202011020,15-19 years,18,271,90,0,17
,20-24 years,12,475,86,0,10
,25-29 years,8,498,48,6,11
,30-34 years,3,461,59,5,11
,35-39 years,7,421,52,3,7
,40-44 years,8,429,65,0,3
,45-49 years,7,512,61,0,3
,50-54 years,3,504,48,4,9
,55-59 years,7,473,79,0,17
,60-64 years,6,246,60,3,13
,65-69 years,3,112,43,0,0
,70-74 years,0,22,19,0,0
,75-79 years,0,6,4,0,0
,80-84 years,0,4,4,0,0
,85-89 years,0,0,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,3,0,0,0
,100 years and over,0,0,0,0,0
202011021,15-19 years,0,47,11,0,5
,20-24 years,0,120,18,0,8
,25-29 years,7,138,18,0,11
,30-34 years,0,133,27,0,0
,35-39 years,5,147,35,4,0
,40-44 years,10,135,26,3,7
,45-49 years,0,149,29,0,3
,50-54 years,3,153,27,0,4
,55-59 years,3,127,34,5,10
,60-64 years,0,86,23,0,6
,65-69 years,0,33,15,0,0
,70-74 years,0,3,0,0,0
,75-79 years,0,0,4,0,0
,80-84 years,0,0,0,0,0
,85-89 years,0,0,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
202011022,15-19 years,19,350,139,3,15
,20-24 years,12,581,102,4,15
,25-29 years,10,563,74,3,7
,30-34 years,9,488,99,3,12
,35-39 years,4,496,87,0,4
,40-44 years,4,553,75,5,4
,45-49 years,4,599,88,5,11
,50-54 years,4,581,77,5,15
,55-59 years,9,507,89,9,11
,60-64 years,5,354,71,0,12
,65-69 years,0,124,38,0,5
,70-74 years,0,24,17,0,0
,75-79 years,0,14,5,0,3
,80-84 years,0,3,0,0,0
,85-89 years,0,0,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
202011023,15-19 years,0,39,3,0,0
,20-24 years,0,41,6,0,0
,25-29 years,0,44,4,0,0
,30-34 years,0,50,17,0,0
,35-39 years,0,35,20,0,0
,40-44 years,0,36,20,0,7
,45-49 years,6,50,12,0,0
,50-54 years,0,39,20,0,0
,55-59 years,0,37,14,0,3
,60-64 years,0,21,11,0,0
,65-69 years,0,0,4,0,0
,70-74 years,0,0,6,0,0
,75-79 years,0,0,0,0,0
,80-84 years,0,0,0,0,0
,85-89 years,0,0,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
202011024,15-19 years,9,51,26,0,0
,20-24 years,0,97,18,0,0
,25-29 years,0,78,6,0,4
,30-34 years,0,93,17,0,0
,35-39 years,0,107,38,3,3
,40-44 years,0,126,47,0,3
,45-49 years,0,98,36,0,0
,50-54 years,0,90,31,6,0
,55-59 years,0,105,31,0,7
,60-64 years,4,56,26,0,3
,65-69 years,0,25,25,0,0
,70-74 years,0,9,5,0,0
,75-79 years,0,4,7,0,0
,80-84 years,0,0,0,0,0
,85-89 years,0,0,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
202011025,15-19 years,4,153,69,5,8
,20-24 years,4,252,32,0,3
,25-29 years,5,285,44,3,0
,30-34 years,0,250,40,3,4
,35-39 years,0,271,44,4,4
,40-44 years,0,295,45,6,3
,45-49 years,8,288,48,0,3
,50-54 years,0,262,41,4,9
,55-59 years,3,265,27,4,6
,60-64 years,0,153,41,0,7
,65-69 years,6,49,28,0,0
,70-74 years,0,12,9,0,0
,75-79 years,0,0,0,0,0
,80-84 years,0,0,0,0,0
,85-89 years,0,0,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
202021026,15-19 years,0,25,8,0,0
,20-24 years,0,154,8,0,0
,25-29 years,0,163,10,0,0
,30-34 years,0,150,21,0,0
,35-39 years,3,123,22,0,5
,40-44 years,0,121,36,0,0
,45-49 years,0,108,40,0,5
,50-54 years,0,121,39,0,7
,55-59 years,0,100,28,0,3
,60-64 years,0,67,31,0,4
,65-69 years,0,22,17,0,4
,70-74 years,0,4,17,0,5
,75-79 years,0,4,8,0,0
,80-84 years,0,0,8,0,0
,85-89 years,0,0,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
202021027,15-19 years,18,165,79,10,24
,20-24 years,9,403,62,7,21
,25-29 years,8,393,57,3,12
,30-34 years,17,325,70,3,16
,35-39 years,4,360,82,3,12
,40-44 years,13,419,80,10,15
,45-49 years,3,504,101,13,24
,50-54 years,12,534,88,9,24
,55-59 years,7,514,117,8,17
,60-64 years,9,346,113,7,22
,65-69 years,0,103,67,0,8
,70-74 years,0,31,23,0,4
,75-79 years,0,6,10,0,0
,80-84 years,0,0,0,0,0
,85-89 years,0,0,3,0,0
,90-94 years,0,3,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,3,0,0,0
202021028,15-19 years,0,35,20,0,8
,20-24 years,0,69,18,0,5
,25-29 years,0,48,6,0,3
,30-34 years,0,54,23,0,0
,35-39 years,0,71,29,0,7
,40-44 years,0,88,36,0,5
,45-49 years,3,116,45,0,8
,50-54 years,3,120,59,0,24
,55-59 years,0,90,79,0,19
,60-64 years,0,106,79,0,11
,65-69 years,0,27,56,0,10
,70-74 years,0,11,33,0,3
,75-79 years,0,10,29,0,0
,80-84 years,0,4,7,0,0
,85-89 years,0,3,8,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
202021029,15-19 years,0,24,7,0,3
,20-24 years,0,51,15,0,4
,25-29 years,0,65,17,0,6
,30-34 years,3,78,15,0,0
,35-39 years,3,65,13,0,3
,40-44 years,5,73,21,0,0
,45-49 years,0,95,25,0,4
,50-54 years,0,105,35,0,0
,55-59 years,0,100,36,0,0
,60-64 years,0,59,25,0,6
,65-69 years,0,28,14,0,5
,70-74 years,0,3,9,0,3
,75-79 years,0,9,14,0,0
,80-84 years,0,7,0,0,0
,85-89 years,0,0,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
202021030,15-19 years,4,136,75,0,17
,20-24 years,5,278,64,0,16
,25-29 years,0,267,35,0,18
,30-34 years,5,257,59,0,5
,35-39 years,0,250,65,0,15
,40-44 years,6,315,94,0,14
,45-49 years,5,388,87,0,19
,50-54 years,3,351,97,3,20
,55-59 years,4,330,107,0,19
,60-64 years,9,218,79,0,14
,65-69 years,6,112,64,0,7
,70-74 years,0,38,41,0,9
,75-79 years,0,3,19,0,0
,80-84 years,0,3,4,0,0
,85-89 years,0,3,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
202021031,15-19 years,10,48,41,3,14
,20-24 years,9,114,29,0,4
,25-29 years,4,92,19,0,0
,30-34 years,0,105,24,0,8
,35-39 years,0,98,38,0,3
,40-44 years,0,132,52,5,9
,45-49 years,4,181,59,4,0
,50-54 years,0,144,47,0,11
,55-59 years,0,110,54,0,4
,60-64 years,7,87,50,0,7
,65-69 years,0,40,34,0,0
,70-74 years,0,11,16,0,0
,75-79 years,0,0,6,0,0
,80-84 years,0,0,3,0,0
,85-89 years,0,0,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
202031032,15-19 years,0,25,13,0,7
,20-24 years,0,83,13,0,6
,25-29 years,0,114,20,0,0
,30-34 years,0,113,27,0,0
,35-39 years,0,109,28,0,8
,40-44 years,0,106,16,0,5
,45-49 years,0,109,43,0,8
,50-54 years,0,104,45,0,10
,55-59 years,0,82,38,0,7
,60-64 years,0,77,41,0,9
,65-69 years,0,21,23,0,3
,70-74 years,0,7,23,0,0
,75-79 years,0,8,6,0,0
,80-84 years,0,0,3,0,0
,85-89 years,0,0,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
202031033,15-19 years,0,55,41,0,18
,20-24 years,0,96,18,0,9
,25-29 years,0,121,15,0,8
,30-34 years,0,127,20,0,6
,35-39 years,0,147,42,0,19
,40-44 years,0,163,53,3,14
,45-49 years,0,185,68,0,29
,50-54 years,0,193,75,0,17
,55-59 years,0,213,104,0,44
,60-64 years,0,135,115,0,26
,65-69 years,0,56,69,0,24
,70-74 years,0,24,40,0,9
,75-79 years,0,13,18,0,4
,80-84 years,0,9,12,0,3
,85-89 years,0,0,4,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
